vid,split,category,filename,video_path,audio_path,inter_frame_path
ibCQwzpQ3kk,train,playing drum kit,ibCQwzpQ3kk_000130,video/ibCQwzpQ3kk_130000_140000.mp4,audio_wav/ibCQwzpQ3kk_000130.wav,inter_frame/ibCQwzpQ3kk_000130.png
-kr4SUjnm88,train,ambulance siren,-kr4SUjnm88_000029,video/-kr4SUjnm88_29000_39000.mp4,audio_wav/-kr4SUjnm88_000029.wav,inter_frame/-kr4SUjnm88_000029.png
pIP1q5y8_U0,train,foghorn,pIP1q5y8_U0_000029,video/pIP1q5y8_U0_29000_39000.mp4,audio_wav/pIP1q5y8_U0_000029.wav,inter_frame/pIP1q5y8_U0_000029.png
9tSWHeW7lY0,train,male singing,9tSWHeW7lY0_000060,video/9tSWHeW7lY0_60000_70000.mp4,audio_wav/9tSWHeW7lY0_000060.wav,inter_frame/9tSWHeW7lY0_000060.png
x2nWX-xNdwo,train,canary calling,x2nWX-xNdwo_000019,video/x2nWX-xNdwo_19000_29000.mp4,audio_wav/x2nWX-xNdwo_000019.wav,inter_frame/x2nWX-xNdwo_000019.png
cPf3cNf-9EY,train,playing glockenspiel,cPf3cNf-9EY_000012,video/cPf3cNf-9EY_12000_22000.mp4,audio_wav/cPf3cNf-9EY_000012.wav,inter_frame/cPf3cNf-9EY_000012.png
G1Ifpgvd69g,train,people slurping,G1Ifpgvd69g_000308,video/G1Ifpgvd69g_308000_318000.mp4,audio_wav/G1Ifpgvd69g_000308.wav,inter_frame/G1Ifpgvd69g_000308.png
Wx9gUMe4zsU,train,orchestra,Wx9gUMe4zsU_000025,video/Wx9gUMe4zsU_25000_35000.mp4,audio_wav/Wx9gUMe4zsU_000025.wav,inter_frame/Wx9gUMe4zsU_000025.png
9Mk28ALDpbk,train,singing choir,9Mk28ALDpbk_000046,video/9Mk28ALDpbk_46000_56000.mp4,audio_wav/9Mk28ALDpbk_000046.wav,inter_frame/9Mk28ALDpbk_000046.png
rFGIw5EMWLU,train,playing didgeridoo,rFGIw5EMWLU_000016,video/rFGIw5EMWLU_16000_26000.mp4,audio_wav/rFGIw5EMWLU_000016.wav,inter_frame/rFGIw5EMWLU_000016.png
Uzk5ehbhGr4,train,playing tambourine,Uzk5ehbhGr4_000044,video/Uzk5ehbhGr4_44000_54000.mp4,audio_wav/Uzk5ehbhGr4_000044.wav,inter_frame/Uzk5ehbhGr4_000044.png
UQJjPUbIxgI,train,playing ukulele,UQJjPUbIxgI_000054,video/UQJjPUbIxgI_54000_64000.mp4,audio_wav/UQJjPUbIxgI_000054.wav,inter_frame/UQJjPUbIxgI_000054.png
