vid,split,category,filename,video_path,audio_path,inter_frame_path
RW0ZkNlkxQY,train,playing drum kit,RW0ZkNlkxQY_000270,video/RW0ZkNlkxQY_270000_280000.mp4,audio_wav/RW0ZkNlkxQY_000270.wav,inter_frame/RW0ZkNlkxQY_000270.png
A7IAYA3qF58,train,ambulance siren,A7IAYA3qF58_000060,video/A7IAYA3qF58_60000_70000.mp4,audio_wav/A7IAYA3qF58_000060.wav,inter_frame/A7IAYA3qF58_000060.png
9DjgWtG20dA,train,foghorn,9DjgWtG20dA_000295,video/9DjgWtG20dA_295000_305000.mp4,audio_wav/9DjgWtG20dA_000295.wav,inter_frame/9DjgWtG20dA_000295.png
7HqcUO4nDXQ,train,male singing,7HqcUO4nDXQ_000030,video/7HqcUO4nDXQ_30000_40000.mp4,audio_wav/7HqcUO4nDXQ_000030.wav,inter_frame/7HqcUO4nDXQ_000030.png
tU9SIhNwxDM,train,canary calling,tU9SIhNwxDM_000161,video/tU9SIhNwxDM_161000_171000.mp4,audio_wav/tU9SIhNwxDM_000161.wav,inter_frame/tU9SIhNwxDM_000161.png
QZh5D674s8Y,train,playing glockenspiel,QZh5D674s8Y_000025,video/QZh5D674s8Y_25000_35000.mp4,audio_wav/QZh5D674s8Y_000025.wav,inter_frame/QZh5D674s8Y_000025.png
4nHL61DSM3s,train,people slurping,4nHL61DSM3s_000648,video/4nHL61DSM3s_648000_658000.mp4,audio_wav/4nHL61DSM3s_000648.wav,inter_frame/4nHL61DSM3s_000648.png
5KMRqnZE9os,train,orchestra,5KMRqnZE9os_000420,video/5KMRqnZE9os_420000_430000.mp4,audio_wav/5KMRqnZE9os_000420.wav,inter_frame/5KMRqnZE9os_000420.png
bgs-u5nJYBA,train,singing choir,bgs-u5nJYBA_000183,video/bgs-u5nJYBA_183000_193000.mp4,audio_wav/bgs-u5nJYBA_000183.wav,inter_frame/bgs-u5nJYBA_000183.png
2v9L6vBPRS4,train,playing didgeridoo,2v9L6vBPRS4_000000,video/2v9L6vBPRS4_0_10000.mp4,audio_wav/2v9L6vBPRS4_000000.wav,inter_frame/2v9L6vBPRS4_000000.png
